"logFC"	"logCPM"	"PValue"	"FDR"
"TRINITY_DN9486_c0_g2_i3"	-3.02409714194324	6.5922882436382	0.0162415086625817	1
"TRINITY_DN8598_c0_g1_i2"	-3.0240971504089	6.5922882436382	0.016244096576312	1
"TRINITY_DN49224_c0_g1_i1"	-5.19957096337408	6.43021982883401	0.0162894703122615	1
"TRINITY_DN5431_c0_g1_i2"	-5.19957087537581	6.43021982883401	0.0162902962883861	1
"TRINITY_DN64206_c0_g2_i1"	3.04690524164333	6.59522424360395	0.0165561584506591	1
"TRINITY_DN18971_c1_g4_i1"	3.04690500057651	6.59522424360395	0.0165609807745189	1
"TRINITY_DN113906_c0_g1_i1"	3.04690466005506	6.59522424360395	0.016567793938901	1
"TRINITY_DN10236_c0_g5_i1"	-3.02477744546887	6.5928753793178	0.0202510923674849	1
"TRINITY_DN2808_c0_g1_i2"	-3.02478132142571	6.5928753793178	0.0203223910709863	1
"TRINITY_DN22625_c0_g1_i1"	4.86427411837785	6.25369658248668	0.0208531464420595	1
"TRINITY_DN22861_c0_g1_i1"	4.86427411837785	6.25369658248668	0.0208534291978304	1
"TRINITY_DN22115_c0_g1_i2"	4.86427411837785	6.25369658248668	0.0208640128759459	1
"TRINITY_DN20495_c1_g3_i1"	4.86427411837785	6.25369658248668	0.0208786945253069	1
"TRINITY_DN18936_c0_g2_i1"	4.86427411837785	6.25369658248668	0.0208829873075945	1
"TRINITY_DN11751_c1_g1_i1"	4.86427411837785	6.25369658248668	0.0208910830410946	1
"TRINITY_DN2785_c0_g2_i1"	4.86427411837785	6.25369658248668	0.020901572118831	1
"TRINITY_DN17626_c1_g1_i2"	4.86427411837785	6.25369658248668	0.0209084701803925	1
"TRINITY_DN135655_c0_g1_i1"	4.86427411837785	6.25369658248668	0.0209169303145973	1
"TRINITY_DN128546_c0_g1_i1"	4.86427411837785	6.25369658248668	0.0209417945502434	1
"TRINITY_DN33431_c0_g1_i1"	4.86427411837785	6.25369658248668	0.0210085698691703	1
"TRINITY_DN38151_c0_g1_i2"	4.86427411837785	6.25369658248668	0.0210806465121538	1
"TRINITY_DN52982_c0_g2_i1"	4.86427411837785	6.25369658248668	0.021139384743809	1
"TRINITY_DN35913_c0_g1_i1"	-5.04096246906475	6.3456770405281	0.0215901295263709	1
"TRINITY_DN47206_c0_g2_i1"	-5.04096948778933	6.3456770405281	0.0216633848429011	1
"TRINITY_DN21112_c1_g2_i1"	-5.04096957862607	6.3456770405281	0.0216643354291792	1
"TRINITY_DN1711_c1_g1_i1"	-5.04098234512212	6.3456770405281	0.0217985765478112	1
"TRINITY_DN7383_c0_g1_i2"	5.05071442597901	6.34693767785712	0.0217990996308459	1
"TRINITY_DN80997_c0_g1_i1"	4.86427411837785	6.25369658248668	0.0218220777240639	1
"TRINITY_DN62578_c0_g2_i1"	5.05071442597901	6.34693767785712	0.0218322087419443	1
"TRINITY_DN9614_c0_g2_i1"	4.86427411837785	6.25369658248668	0.0218632193159141	1
"TRINITY_DN84094_c0_g1_i1"	4.86427411837785	6.25369658248668	0.0218694150921431	1
"TRINITY_DN7873_c0_g2_i2"	-2.01511597302574	6.92959670517174	0.0218957126781769	1
"TRINITY_DN37274_c0_g1_i2"	5.05071442597901	6.34693767785712	0.021901222351094	1
"TRINITY_DN62237_c0_g1_i1"	-5.03531471741702	6.34315648586306	0.0219215961648228	1
"TRINITY_DN149113_c0_g1_i1"	-5.0353114709281	6.34315648586306	0.0219574544811517	1
"TRINITY_DN123936_c0_g1_i1"	-5.03531144730253	6.34315648586306	0.0219577157620691	1
"TRINITY_DN17961_c0_g2_i1"	2.14570089325619	6.99019161299157	0.0226687434827355	1
"TRINITY_DN104_c0_g2_i2"	2.33406638904063	6.73926576436653	0.0229840727242	1
"TRINITY_DN20551_c0_g1_i2"	2.33406638904063	6.73926576436653	0.0229840727242	1
"TRINITY_DN18611_c0_g1_i1"	-4.85129948361407	6.25111244127023	0.0237882236047197	1
"TRINITY_DN23388_c0_g2_i1"	-4.85129941023473	6.25111244127023	0.0237902720404051	1
"TRINITY_DN28019_c0_g1_i1"	-4.85129854654182	6.25111244127023	0.023814405055616	1
"TRINITY_DN36385_c0_g1_i1"	-4.85129738798341	6.25111244127023	0.0238468421352056	1
"TRINITY_DN13167_c0_g1_i1"	-4.8512958325136	6.25111244127023	0.0238905094148914	1
"TRINITY_DN10455_c0_g1_i1"	-4.85129483469895	6.25111244127023	0.0239185926165982	1
"TRINITY_DN14325_c0_g1_i1"	-4.85220187897202	6.25175836878071	0.0240616540722036	1
"TRINITY_DN15506_c0_g1_i3"	-4.85220221536618	6.25175836878071	0.0240700967198477	1
"TRINITY_DN16222_c0_g1_i1"	-4.85220226970826	6.25175836878071	0.0240714610388134	1
"TRINITY_DN157984_c0_g1_i1"	-4.85220276097874	6.25175836878071	0.0240838008668387	1
"TRINITY_DN13301_c0_g1_i1"	-4.85220395384465	6.25175836878071	0.0241138080146322	1
"TRINITY_DN13200_c0_g1_i1"	-4.85220402083799	6.25175836878071	0.0241154951386819	1
"TRINITY_DN10_c0_g2_i1"	-4.85220673351073	6.25175836878071	0.0241839774428907	1
"TRINITY_DN888_c1_g1_i1"	-2.30974378914314	6.73645774757422	0.024214723696924	1
"TRINITY_DN10067_c0_g3_i1"	-4.85220832402855	6.25175836878071	0.0242242834452013	1
"TRINITY_DN24862_c0_g1_i2"	-4.85222641739894	6.25175836878071	0.024690894374163	1
"TRINITY_DN2631_c0_g2_i1"	-4.85222690459132	6.25175836878071	0.0247036678280635	1
"TRINITY_DN26697_c0_g1_i2"	-4.85222732568245	6.25175836878071	0.0247147171822467	1
"TRINITY_DN8781_c0_g1_i1"	-4.85223341119287	6.25175836878071	0.0248753344191037	1
"TRINITY_DN33553_c0_g1_i1"	-4.85223706591471	6.25175836878071	0.0249726420658323	1
"TRINITY_DN8227_c0_g2_i2"	-4.85223800603451	6.25175836878071	0.0249977766260583	1
"TRINITY_DN34352_c0_g1_i1"	-4.85223956223743	6.25175836878071	0.0250394761921731	1
"TRINITY_DN25163_c0_g1_i1"	-2.43140056250161	6.80264440513608	0.0250765188907498	1
"TRINITY_DN17818_c0_g4_i1"	-2.43140017725499	6.80264440513608	0.0250825771325164	1
"TRINITY_DN5086_c0_g2_i1"	-4.85224902493519	6.25175836878071	0.0252955762396952	1
"TRINITY_DN809_c0_g1_i3"	2.57166972803621	6.8701910333385	0.0273517087577453	1
"TRINITY_DN101099_c0_g1_i1"	-2.87580107346091	6.51410323983653	0.027718785651206	1
"TRINITY_DN134733_c0_g1_i1"	-2.87580085780681	6.51410323983653	0.0277272228538759	1
"TRINITY_DN20151_c0_g1_i1"	-2.87579980360704	6.51410323983653	0.0277685267363211	1
"TRINITY_DN8913_c2_g1_i1"	-2.87579851195938	6.51410323983653	0.0278192691693664	1
"TRINITY_DN806_c1_g1_i1"	-2.87579834080329	6.51410323983653	0.0278260042491325	1
"TRINITY_DN10880_c1_g1_i1"	-2.87624047296239	6.51470403757715	0.0281823618943834	1
"TRINITY_DN13775_c0_g2_i2"	-2.87624097715762	6.51470403757715	0.0281995951551415	1
"TRINITY_DN28240_c0_g1_i1"	-2.87624098446844	6.51470403757715	0.0281998451616513	1
"TRINITY_DN2975_c0_g1_i1"	-2.87624144097741	6.51470403757715	0.0282154633732346	1
"TRINITY_DN19836_c0_g3_i1"	-3.28657421848053	6.73870412387347	0.0286412353744723	1
"TRINITY_DN12024_c0_g1_i1"	2.89935674091067	6.5165066728818	0.0293554919008909	1
"TRINITY_DN15192_c0_g1_i1"	2.8987348733673	6.51710763169048	0.0297122259897292	1
"TRINITY_DN9547_c0_g1_i1"	2.33364229349583	6.73982742326038	0.0298815936022885	1
"TRINITY_DN24631_c0_g1_i1"	4.86427411837785	6.25369658248668	0.0298834847130361	1
"TRINITY_DN11599_c0_g1_i2"	2.33448512462507	6.73870412387347	0.0299149210711469	1
"TRINITY_DN372_c1_g2_i1"	4.86427411837785	6.25369658248668	0.0299609916061653	1
"TRINITY_DN51148_c0_g1_i1"	4.86427411837785	6.25369658248668	0.0299615811107625	1
"TRINITY_DN36979_c0_g1_i1"	4.86427411837785	6.25369658248668	0.0299711127855997	1
"TRINITY_DN47339_c0_g1_i1"	4.86427411837785	6.25369658248668	0.0299729100263924	1
"TRINITY_DN5553_c0_g1_i2"	4.86427411837785	6.25369658248668	0.0299748740110878	1
"TRINITY_DN18262_c0_g1_i1"	4.86427411837785	6.25369658248668	0.029977343099729	1
"TRINITY_DN43303_c1_g1_i1"	4.86427411837785	6.25369658248668	0.0299941787939442	1
"TRINITY_DN41777_c0_g1_i1"	4.86427411837785	6.25369658248668	0.0299960117457868	1
"TRINITY_DN163792_c0_g1_i1"	4.86427411837785	6.25369658248668	0.0300011782481266	1
"TRINITY_DN42327_c0_g2_i1"	4.86427411837785	6.25369658248668	0.0300062414833853	1
